88044 silly lifecycle escape-string-regexp@1.0.2~preinstall: no script for preinstall, continuing
88911 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basecopy
88912 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basecreate
88913 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basefind
88914 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basefindindex
88915 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basefor
88916 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._bindcallback
88917 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._getnative
88918 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._isiterateecall
88919 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._root
88920 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._stack
88921 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.deburr
88922 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.defaultsdeep/node_modules/lodash._baseclone
88923 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.isarguments
88924 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.isarray
88925 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.isplainobject
88926 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.istypedarray
88927 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.keys
88928 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._baseisequal
88929 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._baseeach
88930 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._baseassign
88931 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.create
88932 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._baseclone
88933 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.clone
88934 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.keysin
88935 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.merge/node_modules/lodash.keysin
88936 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.merge/node_modules/lodash.isplainobject
88937 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.mergewith/node_modules/lodash._baseclone
88938 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.pairs
88939 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._basecallback
88940 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.find
88941 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.rest
88942 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.mergewith
88943 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.defaultsdeep
88944 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.restparam
88945 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._createassigner
88946 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.toplainobject/node_modules/lodash.keysin
88947 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.toplainobject
88948 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.merge
88949 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.words
88950 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash._createcompounder
88951 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lodash.camelcase
88952 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/log4js/node_modules/isarray
88953 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lolex
88954 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/longest
88955 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/loose-envify
88956 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/invariant
88957 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lower-case
88958 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-lower-case
88959 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/lower-case-first
88960 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/map-obj
88961 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/camelcase-keys
88962 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/media-typer
88963 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/merge-descriptors
88964 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/methods
88965 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mime
88966 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mime-db
88967 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mime-types
88968 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/form-data
88969 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/minimatch
88970 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/minimist
88971 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mkdirp/node_modules/minimist
88972 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mkdirp
88973 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mkpath
88974 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/commander
88975 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/escape-string-regexp
88976 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/graceful-fs
88977 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/lru-cache
88978 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/minimist
88979 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/mkdirp
88980 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/ms
88981 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/debug
88982 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/supports-color
88983 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/commander
88984 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/escape-string-regexp
88985 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/graceful-fs
88986 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/lru-cache
88987 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/supports-color
88988 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/ms
88989 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/debug
88990 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/https-proxy-agent
88991 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/http-proxy-agent
88992 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mute-stream
88993 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/negotiator
88994 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/accepts
88995 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/netmask
88996 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nightwatch/node_modules/lru-cache
88997 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/node-libs-browser/node_modules/isarray
88998 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/node-uuid
88999 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nomnomnomnom/node_modules/ansi-styles
89000 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nomnomnomnom/node_modules/strip-ansi
89001 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nomnomnomnom/node_modules/chalk
89002 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nopt
89003 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/normalize-path
89004 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/normalize-range
89005 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nth-check
89006 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/css-select
89007 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/num2fraction
89008 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/number-is-nan
89009 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-fullwidth-code-point
89010 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-finite
89011 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-integer
89012 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/indent-string/node_modules/repeating
89013 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/indent-string
89014 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/code-point-at
89015 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/oauth-sign
89016 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/object-assign
89017 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/loader-utils
89018 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/inject-loader
89019 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/file-loader
89020 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/esrecurse
89021 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/escope
89022 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/eslint-loader
89023 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/babel-loader
89024 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/object-component
89025 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/object.omit
89026 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/on-finished
89027 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/onetime
89028 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/optimist/node_modules/minimist
89029 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/optimist/node_modules/wordwrap
89030 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/optimist
89031 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/options
89032 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/os-browserify
89033 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/os-homedir
89034 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/eslint/node_modules/user-home
89035 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/os-locale
89036 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/os-shim
89037 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/os-tmpdir
89038 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/osenv
89039 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pako
89040 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/browserify-zlib
89041 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parse-glob
89042 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parse-json
89043 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parse5
89044 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parsejson
89045 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parseqs
89046 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parseuri
89047 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/parseurl
89048 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-browserify
89049 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-exists
89050 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-is-absolute
89051 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-is-inside
89052 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-path-inside
89053 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/is-path-in-cwd
89054 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-to-regexp
89055 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pbkdf2-compat
89056 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pend
89057 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/fd-slicer
89058 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/phantomjs-prebuilt/node_modules/kew
89059 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pify
89060 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pinkie
89061 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pinkie-promise
89062 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-type
89063 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/hasha
89064 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/find-up/node_modules/path-exists
89065 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/find-up
89066 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pluralize
89067 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-message-helpers
89068 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-value-parser
89069 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss/node_modules/source-map
89070 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss/node_modules/supports-color
89071 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss
89072 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-reduce-transforms
89073 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-reduce-idents
89074 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-ordered-values
89075 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-normalize-charset
89076 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-modules-values
89077 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-modules-scope
89078 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-modules-local-by-default
89079 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-modules-extract-imports
89080 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-minify-gradients
89081 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-minify-font-values
89082 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-merge-rules
89083 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-merge-longhand
89084 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-merge-idents
89085 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-discard-empty
89086 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-discard-duplicates
89087 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-discard-comments
89088 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-convert-values
89089 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-colormin
89090 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/autoprefixer
89091 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/prelude-ls
89092 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/prepend-http
89093 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/preserve
89094 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/private
89095 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/es6-templates/node_modules/recast
89096 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/ast-types
89097 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/degenerator
89098 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/process
89099 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/process-nextick-args
89100 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/progress
89101 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/proto-list
89102 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/config-chain
89103 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/proxy-addr
89104 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/proxy-agent/node_modules/lru-cache
89105 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/prr
89106 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/errno
89107 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/pseudomap
89108 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/punycode
89109 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/q
89110 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/coa
89111 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/qs
89112 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/querystring
89113 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/querystring-es3
89114 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/randomatic
89115 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/range-parser
89116 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/read-json-sync
89117 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/readline2
89118 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/recast/node_modules/ast-types
89119 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/recast/node_modules/esprima-fb
89120 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/recast/node_modules/source-map
89121 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/recast
89122 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/reduce-css-calc/node_modules/balanced-match
89123 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/reduce-function-call/node_modules/balanced-match
89124 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/reduce-function-call
89125 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/reduce-css-calc
89126 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/postcss-calc
89127 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regenerate
89128 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regenerator-runtime
89129 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regenerator/node_modules/esprima-fb
89130 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regex-cache
89131 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regjsgen
89132 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regjsparser
89133 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/regexpu-core
89134 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/relateurl
89135 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/renderkid/node_modules/domhandler
89136 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/renderkid/node_modules/domutils
89137 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/renderkid/node_modules/isarray
89138 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/renderkid/node_modules/utila
89139 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/repeat-element
89140 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/repeat-string
89141 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/fill-range
89142 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/expand-range
89143 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/braces
89144 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/micromatch
89145 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/anymatch
89146 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/align-text
89147 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/center-align
89148 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/repeating
89149 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/detect-indent
89150 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/request/node_modules/qs
89151 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/requires-port
89152 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/http-proxy
89153 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/http-proxy-middleware
89154 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/resolve
89155 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/resolve-from
89156 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/require-uncached
89157 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/restore-cursor
89158 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/cli-cursor
89159 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/right-align
89160 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/cliui
89161 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/ripemd160
89162 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/rx-lite
89163 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/samsam
89164 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/formatio
89165 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sax
89166 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/selenium-server
89167 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/semver
89168 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sentence-case
89169 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/path-case
89170 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/param-case
89171 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/dot-case
89172 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sha.js
89173 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/crypto-browserify
89174 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/shebang-regex
89175 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/shelljs
89176 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sigmund
89177 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/nightwatch/node_modules/minimatch
89178 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/minimatch
89179 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha/node_modules/glob
89180 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha
89181 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/minimatch
89182 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch/node_modules/glob
89183 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/mocha-nightwatch
89184 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/signal-exit
89185 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/loud-rejection
89186 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/simple-fmt
89187 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/simple-is
89188 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sinon-chai
89189 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sinon/node_modules/lolex
89190 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/slash
89191 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/slice-ansi
89192 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/smart-buffer
89193 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/snake-case
89194 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sntp
89195 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/hawk
89196 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-adapter/node_modules/isarray
89197 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-adapter/node_modules/socket.io-parser/node_modules/debug
89198 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-adapter/node_modules/socket.io-parser
89199 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-adapter
89200 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-client/node_modules/component-emitter
89201 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-parser/node_modules/isarray
89202 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-parser/node_modules/json3
89203 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socket.io-parser
89204 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socks
89205 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/socks-proxy-agent
89206 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sort-keys
89207 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/source-list-map
89208 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/source-map
89209 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/jstransform
89210 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/source-map-support/node_modules/source-map
89211 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/source-map-support
89212 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/spdx-exceptions
89213 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/spdx-license-ids
89214 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/spdx-expression-parse
89215 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/spdx-correct
89216 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sprintf-js
89217 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/argparse
89218 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/js-yaml
89219 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/sshpk/node_modules/assert-plus
89220 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/stable
89221 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/alter
89222 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/statuses
89223 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/http-errors
89224 silly finalize /home/yuer/文档/vuejs/task-4/my-project/node_modules/send
